time,theta,omega,tau
0.0,0.0,0.0,1.6875389974302379e-15
0.004166666666666667,4.5777377375730966e-20,1.0986570570175432e-17,0.0004086707305960301
0.008333333333333333,1.1085891517501379e-08,2.6606139641893443e-06,0.00079547234205333
0.0125,4.375032886387326e-08,7.839464963129253e-06,0.0011629043629289894
0.016666666666666666,1.0796053312570575e-07,1.5410449022839798e-05,0.0015131866180872018
0.020833333333333332,2.132185087051593e-07,2.5261914139068852e-05,0.0018482902189050348
0.025,3.686145130824842e-07,3.7295041050557974e-05,0.002169965126789806
0.029166666666666667,5.828745275078728e-07,5.142240346209326e-05,0.0024797646687567186
0.03333333333333333,8.644023936496028e-07,6.756668787401522e-05,0.0027790673419547237
0.0375,1.221317207683475e-06,8.565955536812931e-05,0.003069096206795733
0.041666666666666664,1.6614864978952945e-06,0.00010564062965083665,0.0033509361352243917
0.04583333333333333,2.1925556536851725e-06,0.00012745659738957072,0.003625549151207793
0.05,2.821974022110631e-06,0.00015106040842210997,0.0038937880743223625
0.05416666666666667,3.5570180420741027e-06,0.00017641056479123329,0.004156408654008721
0.058333333333333334,4.404811745317221e-06,0.0002034704887783484,0.004414080361334808
0.0625,5.372344916966894e-06,0.00023220796119592145,0.004667395986667971
0.06666666666666667,6.466489175986419e-06,0.0002625946221646859,0.004916880175255263
0.07083333333333333,7.694012207073827e-06,0.00029460552746097765,0.0051629970181221755
0.075,9.061590349923547e-06,0.00032821875428393264,0.0054061568027235305
0.07916666666666666,1.057581972897433e-05,0.00036341505097218824,0.005646722016237818
0.08333333333333333,1.2243226086493046e-05,0.0004001775258044919,0.00588501268412957
0.0875,1.4070273463811958e-05,0.00043849137055653885,0.00612131111747213
0.09166666666666666,1.6063371859498738e-05,0.0004783436149648268,0.006355866134400579
0.09583333333333333,1.822888397897332e-05,0.0005197229086738996,0.0065888968138392385
0.1,2.0573131177397884e-05,0.0005626193276218957,0.006820595833221804
0.10416666666666667,2.310239868638131e-05,0.0006070242021560226,0.007051132436205703
0.10833333333333334,2.5822940205002427e-05,0.0006529299644690677,0.0072806550712978604
0.1125,2.8740981926729284e-05,0.0007003300132144457,0.007509293737786215
0.11666666666666667,3.186272606587187e-05,0.0007492185933942203,0.0077371620713488215
0.12083333333333333,3.519435394014394e-05,0.0007995906898252971,0.00796435919813411
0.125,3.8742028659629096e-05,0.0008514419326764381,0.00819097138292305
0.12916666666666665,4.2511897466860295e-05,0.0009047685137354881,0.008417073494153153
0.13333333333333333,4.651009376775407e-05,0.0009595671122145076,0.008642730306066224
0.1375,5.0742738888722495e-05,0.0010158348290324212,0.0088679976560017
0.14166666666666666,5.521594359135633e-05,0.0010735691286321203,0.009092923472865678
0.14583333333333334,5.9935809372578495e-05,0.00113276778749332,0.009317548691033267
0.15,6.49084295750589e-05,0.0011934288485952957,0.00954190806236573
0.15416666666666667,7.0139890329918e-05,0.0012555505811661844,0.009766030877622444
0.15833333333333333,7.563627135128872e-05,0.0013191314451289722,0.009989941607299766
0.1625,8.140364660012042e-05,0.0013841700597196065,0.0102136604708207
0.16666666666666666,8.744808483266527e-05,0.0014506651758107662,0.010437203942011631
0.17083333333333334,9.377565004735899e-05,0.0015186156515264921,0.010660585197925988
0.175,0.00010039240184227084,0.0015880204307788443,0.010883814517292704
0.17916666666666667,0.00010730439569393176,0.0016588785243986212,0.011106899634174782
0.18333333333333332,0.00011451768316713402,0.0017311889935685413,0.011329846051803882
0.1875,0.00012203831206421575,0.0018049509352996169,0.01155265732100919
0.19166666666666665,0.00012987232652138332,0.0018801634697202137,0.011775335287169085
0.19583333333333333,0.00013802576705877027,0.0019568257289728675,0.011997880309180187
0.2,0.0001465046705901731,0.0020349368475366773,0.012220291453551583
0.20416666666666666,0.00015531507039772866,0.002114495953813335,0.012442566666388237
0.20833333333333334,0.0001644629960761988,0.002195502162832832,0.012664702925722039
0.2125,0.00017395447345099427,0.0022779545699509107,0.012886696376376235
0.21666666666666667,0.00018379552447359647,0.0023618522454245316,0.013108542449308206
0.22083333333333333,0.00019399216709761445,0.002447194229764315,0.01333023596715908
0.225,0.00020455041513834008,0.0025339795297741525,0.013551771237548308
0.22916666666666666,0.0002154762781183326,0.002622207115198206,0.01377314213548048
0.23333333333333334,0.00022677576110126762,0.0027118759159044064,0.013994342176080657
0.2375,0.00023845486451602382,0.0028029848195414903,0.01421536457873903
0.24166666666666667,0.0002505195839727473,0.0028955326696136455,0.014436202323627387
0.24583333333333332,0.0002629759100724269,0.0029895182639231004,0.01465684820144159
